试题内容	答案
两台起重机起吊机车时应分别起吊少许使机车保持平稳，然后（   ）到一定高度。   A
柴油机连续启动不得超过(   )。	B
用不导电的绝缘材料把带电体封闭起来称为（ 　）。	A
"NS1600轨道起重机在上下转盘、接近尽头线、出入厂房、出入检衡线及连挂车辆时,速度不得超过（    ）公里/小时。"	C
客车两根侧梁折损或一根侧梁及两根端梁折损时（   ）。	B
NS1600轨道起重机回送状态下重心高度(    )	C
在液压系统中，能起到安全保护作用的控制阀是(     )。	A
蓄电池补充充电时间约为（  ）h。	C
在复轨器中，表面上有高起的两条导轮棱的形状，称为(    )。	A
用水浇灭距离触电网带电部分不足（   ）的燃着物时，接触网必须停电。	C
NS1600轨道起重机能吊起的货物的净重量为(      )。	A
在机器中传递运动和动力、改变运动形式、转变运动和动力参数的是指(     )。	B
过载保护设备在发生过载时，保护起重机的部件，并避免起吊物重量超出起重机允许吨位值时，造成起重机的(  )。	B
NS1600轨道起重机变幅机构是改变吊臂工作(  )的机构。	C
NS1600轨道起重机支腿跨距为6×13m，使用两块配重360度回转，回转半径7.3m，最大起重量为(  )T。	C
NS1600轨道起重机运输宽度(     )	A
接触网及其相连的部件带有（   ）高压电，严重威胁人身安全。	A
用钢丝绳挂在轴箱拉复时，用于(    )起复。	A
发现跨步电压危险时，应（    ）危险区。	B
发现（）时，应单足跳离危险区。	B
在使用车辆紧急制动阀时，应(   )。	B
禁止攀爬、跳下高站台，禁止扒车、翻越（   ）处通过线路。	A
出动救援列车应使用（   ）牵引。	C
因检修、调拨等需要，集团公司所属铁路救援起重机随列车回送时，一律挂于（   ）。	C
柴油机达不到额定功率怎样处理（  ）。	B
NS1600轨道起重机大臂起升后，高度不超过（    ）米并顺轨，自力走行时速度不超过15km/h。	A
NS1600轨道起重机自身重量及电气设备等重量称为（  ）。	B
NS1600轨道起重机到达现场后，起重机及平车（携带工具车）由机车推进时根据调车作业的有关要求，不超过    (     )km/h。	B
（   ）电压是指电气设备碰壳或电力系统一相发生接地短路时，人走进短路点两脚之间的电位差。	C
运行挂齿机构的作用是控制走行中减速器横轴(   )的接合，以实现起重机的自力运行状态或回送状态。	A
NS1600轨道起重机重量大于15t时，作业前首先必须(   )。	A
当机车车辆在尽头线处脱轨进行起复作业时，应采用(    )型复轨器。	C
事故车辆中装有危险品、爆炸品或贵重物品，使用起重机又靠不上时，采取（  ）使车辆离开线路。	B
对于骨折和怀疑存在骨折患者，应做好（   ），以防止骨折断端移位，造成其他严重损伤	C
具有承载大、上升平稳、安全可靠、省力，有自锁作用等优点的是(    )。	B
在齿轮传动中，可以实现自锁的是(    )。	B
正确操纵柴油机应遵守（  ）的规定。	A
柴油机小修是消除柴油机运转和保养时发现的故障，通过修理和更换(      )，使柴油机恢复正常工作。	C
当轴与轴上零件要求对中性高，载荷较大和定心精度较高时，应采用(    )。	B
在电气化区段救援作业时所使用的长大工具、器材等，与接触网须保持(   )以上的距离。	B
NS1600轨道起重机操纵中应按信号指挥进行，对紧急停止信号   (    )。	B
车辆脱轨后比较容易起复的是(    )。	A
NS1600轨道起重机整车长度(     )	A
调整吊起物件的位置，必须使用(    )。	A
车辆全长是指(   )之间的距离，以米为单位。	C
NS1600轨道起重机操纵中，自作业开始必须精力集中，不准离开操纵台，每个动作在操作前必须(     )。	B
进行机车整备作业通过检查地沟时，应走渡板或（   ），禁止跨越地沟。	C
电气化铁路牵引供电设备带有高压电，禁止（ 　）与上述设备接触，并保持安全距离。	C
在带传动中，当使用张紧轮时，张紧轮应安装在松边的内侧，并尽量靠近(    )。	B
捆绑和起吊物件时，吊钩应与重心垂直，挂绳位置应与重心为中心，两边(    )。	C
对运行式NS1600轨道起重机在吊重状态下，进行稳定计算时，称为（ ）。	A
零件在轴上周向固定的方法中，(    )的固定方法不适合在轴上周向固定。	A
柴油机调速器的作用是(    )。	B
连杆机构在机械化和自动化中起着重要的作用，在一般机械中使用最多的是(    )。	A
救援工作的基本要求是必须全力开通(   )，确保运输畅通，尽量减少事故损失和影响。	B
改变支腿液压系统工作状态的是（  ）。	C
接触网附近发生火灾时，应立即通知（   ），机务值班员或接触网工区值班人员。	B
熔断器在电路中起的作用是(   )。	B
NS1600轨道起重机配有两块配重，总计34T，可从7米伸出至   （    ）米	C
钢丝绳要定期检查，(   )要全面检查一次。	A
横移千斤顶的起升高度不得超过(    )。	B
为保证燃料迅速和完全的燃烧，（  ）是衡量雾化质量好坏的标准。	C
起重机作业结束后，司机应按要求(       )，保养起重机。	C
NS1600轨道起重机的吊臂属于(    )。	C
NS1600轨道起重机额定起升载荷工况下，最大幅度起升相应的额定起升载荷在起升、下降过程中进行不少于（  ）次的正常制动。	B
NS1600轨道起重机吊臂平车定员（    ）人。	B
在NS1600轨道起重机液压系统中将液体的压力能转换为机械能的是(    )。	B
NS1600轨道起重机回转架尾部半径(     )	B
事故现场破损机车车辆叠压成堆时，应采用(     )。	A
距离牵引供电设备带电部分不足（   ）的燃着物体，用水或灭火器时，牵引供电设备必须停电。	B
在运输繁忙地段发生列车重大颠覆事故，采取（  ）能迅速开通。	A
NS1600轨道起重机因故必须立即放下吊起的物件但又不能放下时，司机应(   )，并对其附近进行必要防护。	C
高压油泵和喷油嘴的出油阀偶件与针阀间中修后应由正确的光洁度和（  ）。	C
机车车辆限界是和(   )的极限横断面轮廓。	A
NS1600轨道起重机柴油机每周应启机一次空载运转，时间不得少于(   )为宜。	C
吊钩材料应具有较高的机械强度是（  ）。	B
钢丝绳在起重设备中工作的情况下安全系数为(  )。	C
事故车辆走行部损坏、歪倒离开线路较远或破损车辆叠压成堆时，应使用(    )开通线路。	C
机车车辆脱轨事故发生在站外或车站咽喉道岔处，应采取(     )开通线路比较有利。	C
S1600起重机支腿跨距为6×13m，使用两块配重360度回转，回转半径7.3m，最大起重量为(      )T。	A
NS1600轨道起重机在曲线上作业时(    )。	A
单项触电对人体的危害与（   ）有关。	A
NS1600轨道起重机根据液压泵、马达的使用要求，在正常情况下，液压油在任何部位的最高温度都不得超过(   )℃。	A
NS1600轨道起重机最大起重量为160t，最大起重力矩为(     )t/m。	B
在NS1600轨道起重机中起着轴承作用的是(   )。	B
"新建的电气化铁路在接触网接电前的()天前,铁路局要以书面通知铁路内外各有关单位。"	C
"发生高压接地故障时,在切断电源前,任何人与接地点的距离接触网断线接地不得小于()米。"	C
"低电压是指对地电压在()及以下,如380\220V三相四线制居民生活用电线路、直流220/110V电源等。"	B
架设在铁路线路上空的接触网带有()的高压电。	A
"手持木杆、梯子等工具通过接触网时,必须(),不准高举超过安全距离。"	A
我国电气化铁路采用()制供电。	C
"有跨步电压危险时,应()沿半径垂直方向迈小步慢慢退出。"	B
作业过程中的'三控'指的是自控、互控、()。	B
"在机车上部作业时要站稳抓牢做好()措施,佩戴好安全带。"	C
企业职工必须按规定进行()的学习和教育。	A
"严格执行人员不齐不动车,车不停稳不上下,动车前必须先鸣笛并(),人员安全后方可动车。"	A
"严禁敲击紧固有压力的机车部件,检修前,必须切断压力来源,排尽()。"	C
初期火灾的扑救方法有:冷却法、()、隔离法。	B
"各种电动机具要安装(),除按规定日期检查绝缘电阻外,每次使用前也必须对绝缘进行检查。"	A
"二人以上搬运笨重物件时,必须统一行动、()、相互配合、呼唤应答。"	A
"使用风管吹扫时,应用手握住风管(),以防风管甩动伤人。"	B
"凡停车后,从事线路查看,检查机车、给油、处理故障均不得侵入()。"	C
"铁路有关行车人员,接班前须充分休息,(),如有违反,立即停止其所担当的任务。"	B
"《中华人民共和国安全生产法》于第九次人民代表大会常务委员会第二十八次会议通过,自()起施行。"	A
"安全生产经营单位必须遵守()和其他有关安全生产的法律、法规,加强安全生产管理,建立、健全安全生产责任制度,完善安全生产条件,确保安全生产。"	A
"生产经营单位的从业人员有依法获得()的权利,并应当依法履行安全生产保障方面的义务。"	A
"工会依法组织职工参加本单位安全生产工作的民主管理和民主监督,维护职工在安全生产方面的()。"	B
生产经营单位必须执行依法制定的保障安全生产的国家标准或()。	A
"国家实行安全生产事故责任追究制度,依照安全生产法和有关法律、法规的规定,追究安全生产事故责任人员的()。"	B
生产经营单位的主要负责人和安全生产管理人员必须具备与本单位所从事的生产经营活动相应的()和管理能力。	C
"生产经营单位应当在有较大危险因素的生产经营场所和有关设施、设备上,设置明显的()标志。"	C
生产经营单位应当教育和督促从业人员严格执行本单位的安全生产规章制度和();并向从业人员如实告知作业场所和工作岗位存在的危险因素、防范措施以及事故应急措施。	B
"安全生产管理人员对检查中发现的安全问题应当();不能处理的,应当即使报告本单位有关负责人。"	C
"从业人员应掌握本职工作所需的安全生产知识,提高安全生产技能,增强()和应急处理能力。"	A
"从业人员发现()或其他不安全因素,应当立即向现场安全生产管理人员或者本单位负责人报告。"	A
"安全生产监督管理部门对检查中发现的事故隐患,应当责令()。"	A
呼吸护具分为防毒、防尘、()。	C
"低压带电工作时要扎紧袖口,使用()进行操作,不允许使用手直接接触带电体,也不允许身体同时接触两相或相与地"	C
"扑灭火灾后要对火场进行全面细致的检查、消灭余火和隐燃,排除险情和隐患,防止()。"	A
机械防护的形式有固定防护式、()和自动防护式。	B
特种设备作业人员在作业中应当严格执行特种设备的操作规程和有关的()。	B
"特种设备使用单位应当对特种设备的安全附件、安全保护装置、测量调控装置及有关附属仪器仪表进行定期(),并作出记录。"	C
"用人单位必须采取有效的职业病防护设施,并为劳动者提供个人使用的()。"	B
"严格遵守劳动纪律和作业纪律,班前精神饱满,充分休息,严禁班前、班中饮酒;严禁脱岗、串岗、私自替班或换班,不得做与工作无关的事情,上班精神状态不好时要()作业。"	A
"架落车时,禁止手扶心盘销。必要时必须在两侧旁承上各垫以()mm以上厚的硬木防护垫方准进行。在任何情况下不准将头和身体探入枕梁与摇忱之间。"	C
新入路、新转岗、新提职人员必须参加()级安全教育及其他规定的安全教育及培训。	B
"机务段对所有从业人员必须进行专项的()教育、培训和考试,使所有从业人员熟知各项劳动安全标准和防范措施,未经专项劳动安全培训和考试合格的人员,不得上岗作业。"	A
"在车底下作业时,做好呼唤应答,禁止用身体各部挎、挤、靠制动系统的其他部件。更换闸瓦时,()相应的台车塞门,做好联系。"	A
"上、下机车要()车门,要抓紧站稳,手不抓紧不迈步,站不稳不松手。"	A
"在电气化区段,严禁()机车、车辆等车顶部或翻越车顶通过线路。在线路上作业时,禁止接打移动电话。"	A
风力大于()级时禁止攀登油罐作业。	C
"悬挂有接触网或与接触网相连的支柱及金属结构上,()已损坏时禁止与之接触。"	A
在电力机车、牵引变压器的()应设置安全防护栅网。	A
在接触网支柱及接触网带电部分5 m范围内的金属结构上均需装设()。	B
"所有接触网设备,自第一次受电开始,在未办理()之前,均按有电对待 。"	A
"发生高压接地故障时,在切断电源前,任何人与接地点的距离,室内不得小()米。"	A
一切生产企业的头等大事是()。	A
"发生高压接地故障时,在切断电源前,任何人与接地点的距离,室外不得小于()米。"	C
接触网是电气化铁路()系统中的主要供电设备。	B
电气化铁路是以()为牵引力的一种现代化交通运输形式。	A
()通过人体叫触电。	A
"使用沙土灭火时,距离接触网带电部分()米以外者,接触网可以不停电。"	A
电伤通常是由电流的热效应、()或机械效应造成的。	C
"装载货物高度超过()米 的车辆通过电气化铁路平交道口时,严禁随车人员在货件上坐立。"	B
"当人体直接接触带电部分,通过人体的电流达到()毫安时,皮肤表面的角质层就会被破坏。"	B
差示压力计动作后未判明原因前禁止()柴油机。	A
二氧化碳灭火器适用于消除电气、油脂及()火灾。	A
"()是指违反安全规则或安全原则,使事故有可能或有机会发生的行为。"	B
"机车运行中禁止踩踏运动部件的(),跨越盖板时要站稳,防止滑倒。"	C
二氧化碳灭火器完好状态的标准是:各种贴证齐全、()、喷管无破损。	A
粉尘对人体危害程度决定于粉尘的化学组成及其在空气中的()以及人体在生产环境中的时间长短。	C
"手持电动工具要定期检验,绝缘应良好,引线要牢靠;完整,长度不得超过()米,外壳接地。"	A
"在距接触网带电部分(  )的导线支柱房顶及其他设施上施工时,接触网可不停电,但须有接触网工或经专门训练的人员在场监护。"	B
"发生高压接地故障时,在切断电源前,任何人与接地点的距离,室外不得小于(  )m。"	C
"高压指对地电压在(  )以上,如10kV电力线路、25kV接触网线路等。"	B
"天桥及跨线桥靠近跨越接触网的地方,必须设置(  ),以屏蔽感应电流。"	A
"为保证人生安全,除专业人员按规定作业外,任何人员所携带的物件( 包括长杆导线等 )与接触网设备的带电部分需保持(  )以上的距离。"	B
"发现有跨步电压危险时,应(  ),亦可沿半径垂直方向小步慢慢退出。"	A
事故发生的主要原因是(  )。	A
"有关单位必须在内燃电力机车上能够攀登到车顶的梯子和通过走台板的前门天窗等处,规范涂刷或设置(  )等警示标志。"	C
"企业安全生产制度规定,管生产必须管(  )。"	A
新工人的三级安全教育是指厂( 段 )教育车间教育和(  )。	B
"实行口对口人工呼吸前,应将触电者衣服宽解并使其(  )头部尽量后仰,鼻孔朝天,嘴张开并将舌头拉出来并摘下活假牙。"	A
"机车在区间因故必须攀登上车顶作业时,应向(  )调度请求停电并挂好接地线后方可进行。"	A
"在电气化铁路附近施工冲洗车辆时,严禁水流向接触网方向喷射,保持水流与接触网带电部分有(  )以上距离。"	B
"各类油罐车在在电气化铁路区段发生泄漏时,(  )上去处理,要立即通知铁路部门,将其牵引导非电气化区段处理。"	B
"汽车和兽力车通过电气化铁路平交道口时,货物的装载高度( 从地面算起 )不得超过(  )和触动道口限界门的活动横板和吊链。"	C
"在距接触网带电部分不到(  )米的建筑物上作业时,接触网必须停电。"	A
电流通过人体叫做(  )。	B
